Condensation_Dual	antismash
Condensation_sid	antismash
Condensation_Starter	antismash
X	antismash
Cglyc	antismash
Heterocyclization	antismash
Epimerization	antismash
ACPS	antismash
cMT	antismash
oMT	antismash
nMT	antismash
AMP-binding	antismash
A-OX	antismash
Thioesterase	antismash
TD	antismash
Aminotran_1_2	antismash
Aminotran_3	antismash
Aminotran_4	antismash
Aminotran_5	antismash
PKS_KS	antismash
PKS_KR	antismash
PKS_ER	antismash
PKS_DH	antismash
PKS_DH2	antismash
PKS_DHt	antismash
PKS_AT	antismash
NRPS-COM_Nterm	antismash
NRPS-COM_Cterm	antismash
Polyketide_cyc	antismash
Polyketide_cyc2	antismash
PKS_Docking_Nterm	antismash
PKS_Docking_Cterm	antismash
CAL_domain	antismash
Trans-AT_docking	antismash
ACP	antismash
PCP	antismash
NAD_binding_4	antismash
ACP_beta	antismash
B	antismash
F	antismash
FkbH	antismash
GNAT	antismash
Hal	antismash
PS	antismash
ECH	antismash
TIGR01720	antismash
TIGR02353	antismash
SAT	antismash
PP-binding	antismash
PT	antismash
PKS_PP	antismash
cAT	antismash
Beta_elim_lyase	antismash
LPG_synthase_C	antismash
TauD	antismash
IBH_Asp	antismash
Interface	antismash
Abhydrolase_1	antismash
